,rank_2020,City,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage,Rank,Total cost of living,Median contract rent,Food cost per person,Utility costs,Gas costs,Median individual income,Median household income
30,31,Milwaukee,Wisconsin,577222,594833,96.2,6000,14.15,31.6,41.17,53.76,23.39,27.55,31.26,33.29,11.21,17.22,22.52,26.97,59,1382,740,371,155,116,26995,44192
31,32,Albuquerque,New Mexico,564559,545852,187.3,3014,13.7,28.82,35.46,45.96,23.43,28.01,31.77,34.96,11.21,15.91,19.7,23.2,60,1378,819,303,133,123,30499,55567
32,33,Tucson,Arizona,542629,520116,241.0,2252,13.8,28.52,35.14,45.83,23.18,27.67,31.4,34.79,11.23,15.75,19.52,23.13,65,1330,722,287,201,120,25341,44365
33,34,Fresno,California,542107,494665,115.2,4706,14.14,32.52,41.04,53.84,24.62,30.16,34.14,37.71,11.95,17.85,22.6,27.15,47,1563,874,295,220,175,26242,53161
34,35,Sacramento,California,524943,466488,98.6,5324,16.42,35.93,45.04,59.82,27.17,32.97,36.95,41.91,13.16,19.55,24.6,30.14,19,1960,1225,386,167,182,33942,69134
35,36,Kansas City,Missouri,508090,459787,314.7,1615,14.4,30.02,36.64,46.85,24.09,28.91,32.61,35.21,11.56,16.43,20.25,23.52,62,1358,767,307,174,111,32233,55259
36,37,Mesa,Arizona,504258,439041,138.7,3636,15.41,29.44,35.4,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23,46,1565,971,277,175,141,33404,63836
37,38,Atlanta,Georgia,498715,420003,135.3,3686,16.56,31.33,38.33,48.79,25.29,29.79,33.44,35.92,12.54,17.07,21.07,24.48,25,1828,1127,398,176,128,40494,66657
38,39,Omaha,Nebraska,486051,408958,133.2,3649,14.4,30.31,37.74,48.73,23.99,28.44,32.18,34.74,11.59,16.58,20.82,24.46,54,1449,792,363,183,112,34876,61305
39,40,Colorado Springs,Colorado,478961,416427,195.4,2451,14.77,31.96,40.09,52.9,24.45,29.64,33.39,37.39,11.68,17.48,22.01,26.67,33,1697,1093,335,136,134,34171,70527
40,41,Raleigh,North Carolina,467665,403892,145.1,3223,16.32,33.39,42.82,55.66,25.14,29.42,33.06,35.52,12.35,18.1,23.3,27.92,38,1627,1019,343,142,122,36910,69333
41,42,Long Beach,California,466742,462257,50.7,9206,19.22,41.55,51.3,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01,16,2021,1384,356,101,180,31728,67804
42,43,Virginia Beach,Virginia,459470,437994,244.7,1878,16.33,31.83,39.54,51.7,24.57,29.51,33.12,36.61,12.28,17.3,21.65,25.94,28,1772,1195,298,167,112,38477,79054
43,44,Miami,Florida,442241,399457,36.0,12284,15.86,33.2,40.47,52.69,25.54,31.01,34.41,38.46,12.13,17.9,22.0,26.43,23,1835,1174,386,141,134,23154,42966
